KEYS,en,chn
LIGHT_ORE,Light Ore,轻矿石
HEAVY_ORE,Heavy Ore,重矿石
SFC,Starfall Crystal,星陨晶
VL_STONE,Void Luminescent Stone,虚空辉石
CS_ORE,Chrono Secret Ore,时光秘矿
ISDI,Interstellar Dark Iron,星际玄铁
IBD,Illusionary Blue Diamond,幻域蓝钻
QT_CC,Quantum Crystal Cluster,量子晶簇
LMM,Latent Matter Mine,隐物质矿
SS_ORE,Spiritual Ore,灵矿
IF_ORE,Ironfire Ore,铁火矿
PC_ORE,Primitive Crystal Ore,原始结晶
ISIS,Interstellar Inferno Stone,星际炎石
VFC,Void Flame Crystal,虚空焰晶
SC_LAPIS,Star Core Lapis,星核琉璃
ATM_ORE,Antimatter Ore,反物质矿
PR_IRON,Photon Refined Iron,光子精铁
BH_SD,Black Hole Stardust,黑洞星尘
STRT,Spacetime Rift Stone,时空裂石
SF_IRON,Star Fantasy Iron,星辰幻铁
DCC,Dimensional Crystal Core,维度晶核
VS_JADE,Void Spiritual Jade,虚空灵玉
SRS_ORE,Starrealm Silver Ore,星界银矿
ITS_AMB,Interstellar Amber,星际琥珀
SHADOW_ORE,Shadow Ore,幽影矿
SDC,Star Divine Crystal,星辰玄晶
SL_STONE,Streaming Light Stone,流光石
ECT_OB,Enchanted Obsidian,着魔黑曜石
SOLID_CO,Solid Crystal Ore,坚晶矿
SYN_ORE,Synthetic Ore,合成矿石
DC,Darkness Crystal,暗晶
EC,Earth Crystal, 地晶
FC,Fire Crystal,火晶
IC,Ice Crystal,冰晶
LC,Light Crystal,光晶
TC,Thunder Crystal,雷晶
WTC,Water Crystal,水晶
WDC,Wind Crystal,风晶
,,
ANT_SCROLL,Ancient scroll,古代卷轴
ANT_TAB,Ancient tablet,古代石板
ANT_RUNE,Ancient runes,古代符文
GENE_DRUG,Gene drug,基因药剂
ANT_BOOK,Ancient book,古代书籍
MEM_CRYSTAL,Memory Crystallization,记忆结晶
ALT_TOE,Alienated toe,异化脚趾
ALT_TOOTH,Alienated tooth,异化牙齿
ALT_HEAD,Alienated head,异化头颅
DIARY,Diary of the unknown,未知者的日记
LOG,Experimental log,实验日志
EXP_DEV,Experimental device,实验装置
,,
AME,Antimatter Energy,反物质能
BIE,Bioenergy,生物能源
BHE,BlackHole Energy,黑洞能源
CHE,Chaos Energy,混沌能源
DE,Dark Energy,暗能量
FISE,Fission Energy,裂变能源
FUSE,Fusion Energy,聚变能源
QTE,Quantum Energy,量子能源
PME,Primary Energy,原始能源
FVE,Forever Energy,永恒能源
,,
MDB,Matrix Decoding Box,矩阵解码箱
