KEYS,en,chn
,,
S1L1,"On March 9th, at 21:00, Imperial Border Protection Satellite - Giant Shield, Personal Rest Room",3月9日， 21点， 帝国边境护卫星-巨盾， 个人休息室
S1L2,"Captain Dirty Blade, I am Lieutenant Colonel Xi. Zhihong, Staff Officer of the Iron Blooded Army. This is the identification code and token given to me by the commander. I have an urgent mission that requires you to depart immediately. The detailed information has been sent to your terminal",队长脏刃， 我是铁血军中校参谋戏志宏， 这是主帅给我的身份识别码和信物， 目前有一个紧急任务， 需要你立即出发， 详细信息已经发到你的终端
S1L3,"This way of issuing commands does not follow the process, and I will retire tomorrow, unable to complete the task in one day!",这种命令下达的方式不符合流程， 而且我明天就退役了， 无法在一天内完成任务！
S1L4,"The mobilization of the Hidden Shadow Force will become more frequent, and communication with the Hidden Shadow Force will gradually be decentralized. Your team will become a true garbage cleaner in the future. Since you also know that you will retire tomorrow, you are still an Imperial soldier and your retirement date has been delayed due to this mission. This will be your last mission",以后隐影部队的调动会更加频繁， 与隐影部队的通讯会逐步下放， 你们未来会变成真正的垃圾清理器。既然你也知道是明天退役， 那么你现在依然是帝国军人， 你的退役日期因为这个任务延迟了， 因此这将是你的最后一个任务
S1L5,"Okay, since your identification code and token do match the previous agreement with the commander Zoo.Don, I will do my best",好吧， 既然你的识别码和信物确实符合与左敦主帅上次的约定， 我会尽我所能 
S1L6,"This is the token of Commander Zhang, not Commander Zoo.Don. This mission is not asking you to do your best, but to complete it, and destroy the target spaceship. Do not leave any survivors.",这是张主帅的， 不是左敦主帅的。这次任务不是要你尽力， 而是必须完成， 一定要击毁目标飞船， 不要留下活口
S1L7,I need reinforcements for such an important task,如此重要的任务， 我需要增援
S1L8,"This is the top secret mission, there will be no reinforcements other than these things, you can pilot your combat warship， But we need to remove the markings on the ship",这是最高机密任务， 除了这些东西以外不会有任何增援， 你可以驾驶你的战斗飞船， 不过要去除帝国战舰的标记
S1L9,"I just need to take these things. After the task is completed, I can retire, right? Don't assign me any new tasks anymore",我拿走这些东西就行， 任务完成后我就能退役了是吧， 不要再安排新的任务给我了
S1L10,"To be honest, it's a pity to lose someone like you, but I guarantee that you can retire after completing your mission. Wishing you success and for the sake of the empire",老实说， 失去你这样的人才还真是遗憾， 不过我保证在你完成任务后就可以退役了， 祝你马到成功， 为了帝国
S1L11,"Okay, see you later, for the sake of the empire",好的， 回见， 为了帝国
S1L8R1,Enhance weapon damage,增强武器伤害
S1L8R2,Light Ore Enhance Warship,轻矿石强化战舰
S1L8R3,All of it,全都要
S1L12C1,Why wasn't the mission assigned by the commander this time? Maybe I can go to the military headquarters for a review,这次的任务为什么不是主帅下达？或许我可以去军部复核一下
S1L12C2,"Damn it, he just don't want me to retire with peace of mind. Forget it, let's go carry out the task first",混蛋， 就是不想让我安心退役。算了， 先去执行任务吧
S1L14,"I am Joy, an alliance diplomat. Please show your identity and stop the attack",我是联盟外交官悦然， 请出示你的身份并停止攻击
S1L15,"Please stop your attack!",请停止你的攻击！
,,
S2L1,"On March 12th, Neutral Planet-PeaceRealm- Realmarket City, near the City Government. The target has fled to the neutral planet - PeaceRealm, followed closely by Dirty Blade, landing on PeaceRealm, and discovering the target spaceship in the repair shop",3月12日， 中立星球-和界星-域市城， 市政府附近。 目标已逃跑至中立星球-和界星， 脏刃也紧随其后， 降落在和界星， 并发现了维修厂里的目标飞船
S2L2,"She fled to the city government, is she really a diplomat? Smart Meow, search for her information based on her appearance",她逃入市政府了， 难道她真的是外交官？智喵， 根据她的外形搜索她的信息
S2L3,"Okay, Smart Meow 10086 is at your service, search begins…",好的， 智喵10086号为你服务， 搜索开始……
S2L4,"The information has been confirmed that she is the Empire's fugitive number 1537, guilty of intentional homicide, theft of state secrets, and impersonation of a public official. She has been sentenced to death and executed in May this year. She escaped from prison a month ago and is wanted for a bounty of 50000 Imperial Coins",信息已确认， 她是帝国在逃犯1537号， 犯故意杀人罪， 窃取国家机密罪与冒充公职人员罪， 已判处死刑， 今年5月执行， 一个月前越狱， 通缉赏金5万帝国币
S2L5,"Wait, check what specific secrets she stole",等等， 查询下她具体窃取了什么机密
S2L6,"Only confidential information related to weapon research that has been stolen can be found. The level of confidentiality is insufficient, and more information cannot be retrieved",只能查询到窃取了武器研究相关的机密， 保密等级不够， 更多的信息无法查询
S2L7,"Okay, private battles with planet PeaceRealm are not allowed. Do you have any suggestions regarding the next steps?",好吧， 和界星不允许私下动手， 关于下一步你有什么建议吗？
S2L8,"It's just that private combat is not allowed, but we can release the surveillance robot and act when she leaves the planet. During this time, I suggest you go to the neutral market to deal with the spoils of the last battle and upgrade the ship to prevent 1537 from escaping again",只是不允许动手， 但是我们可以释放监视机器人， 等她离开星球的时候动手， 在这期间我建议你去中立集市处理上次战斗的战利品， 并对舰船进行升级， 免得1537号再逃走
S2L9,"Let's do it this way, use all surveillance robots to monitor her from all angles and make sure she doesn't escape. Also, arrange for my warship to do some camouflage",那就这么办吧， 使用所有监视机器人全方位监视她， 确保不让她逃脱。另外安排我的战舰去做一下伪装
S2L10,"Suddenly, a girl with sharp ears stopped you",突然， 一位尖耳朵的少女拦住了你
S2L11,"Hello, my name is Luna and I come from Planet WisdomScript. Mr. Pension, may I ask if you can listen to me for a moment?",你好， 我叫露娜， 我来自智翰星， 潘森先生， 请问你可以听我说两句吗？
S2L12,"Huh? Hello, what can I do for you? Also, how did you know my name? And your ears......are they mutated?",哈？你好， 找我有什么事吗？另外你是如何知道我的名字的？还有你的耳朵…是变异了吗？
S2L13,"I am a prophet of the WisdomScript tribe, possessing the ability to predict. Ears are a characteristic of our tribe. Please do not be surprised. I stopped you because I foresaw something. Can you please not harm Miss Joy? This will lead to negative consequences",我是智翰族的先知， 拥有预知的能力， 耳朵是我们一族的特征， 请不要惊讶， 我拦住你也是预知到了一些事情， 能请你不要伤害悦然小姐吗？这会导致不好的后果
S2L14,"Anticipate? Do you think anyone would believe such an outrageous thing? Besides, who is Joy? Hurry up and explain your purpose, otherwise, I'll get tough.",预知？你觉得这么离谱的事情会有人信吗？另外悦然是谁？快点说明你的目的， 要不然我就要动粗了。
S2L15,Luna's gaze gestured to the cameras and cybernetic police patrolling the streets,露娜眼神示意了下满街的摄像头和赛博机械巡警
S2L16,"Ah, okay, Miss Prophet, do you have any advice or prophecy?",啊啊， 好吧， 那么先知小姐， 你还有什么忠告或者预言吗？
S2L17,"Alas, Miss Joy is your target. Also, if you have time or have no choice in the future, you can come to the Planet Shelter near Planet WisdomScript to find me. These are the interstellar coordinate orbits of these two planets, and I need your help. After speaking, the girl turned around and walked into the crowd",唉， 悦然小姐是你的目标， 另外， 如果你未来有空或者走投无路的话， 可以来智翰星附近的庇护星找我， 这是这两颗星球的星际坐标轨道， 我需要你的帮助。说完， 这名少女转身走进了人群
S2L18,The coordinates of Planet Shelter and Planet WisdomScript have been recorded. The coordinate orbit of Planet WisdomScript is very close to a planet orbiting monsters detected by the Empire 40 years ago. The surveillance robots have all been placed at target 1537. Do we need to partially callback surveillance robots to monitoring Luna?,智翰星和庇护星坐标已记录， 智翰星的坐标轨道与帝国40年前探测到的一个环绕怪物的星球很接近， 监视机器人已全部放在目标1537号处， 是否需要部分调回监视机器人去监视露娜？
S2L19,"Well, let's switch back to one-third to monitor Luna",嗯， 调回三分之一监视露娜吧
S2L20,"Report, the target has been lost and she suddenly disappeared at the intersection ahead","报告， 目标已跟丢,她在前面的路口突然消失了"
S2L21,"Oh, it looks like she has some skills, so forget it",哦， 看上去她有点本事嘛， 那就算了
S2L22R1,"Although there are many doubts about what she said, there is also a hint of sincerity. Perhaps I should pay attention, she must have some purpose",虽然她说的话疑点重重， 但又有几分诚挚， 或许我应该留心， 她一定有某种目的
S2L22R2,"It's better not to trust the inexplicable words spoken by people who appear inexplicably, and forget about them altogether",莫名出现的人说的莫名其妙的话， 还是不要轻信为好， 干脆忘掉吧
S3L1,"On March 14th, the neutral Planet-PeaceRealm- Realmarket City, West City Market",3月14日， 中立星球-和界星-域市城， 城西集市
S3L2,"Surveillance robots returns information, target appears in the market, recruiting guards",监视机器人传回信息， 目标出现在集市， 正在招募护卫
S3L3C1,"Hey, that's a great opportunity. Why don't we just sneak in and break through internally? It seems like we need to buy some items that can enhance our personal charm",咦， 好机会， 要不就混进去从内部突破， 那看来得选购点能增强个人魅力的物品了
S3L3C2,"It doesn't matter. Once my warship is repaired and prepared, I will eliminate all enemies that stand in my way",无所谓， 等我战舰维修准备完毕， 我会消灭挡在眼前的所有敌人
,,
S4L1,"On March 15th, in the neutral planet-PeaceRealm- Realmarket City, in the southwest of the city - Grand Hall Hotel",3月15日， 中立星球-和界星-域市城， 城市西南-盛厅酒店
S4L2,Smart Meow hink of my outfit?,智喵， 你觉得我这套行头如何？
S4L3,"To be honest, I didn't see any difference",老实说， 没看出有什么不同…
S4L4,"Ah, well, pull out the fake resume I made yesterday and I'll review it again",啊这， 好吧， 把昨天做的假简历调出来， 我再温习下
S4L5,"Don't worry, it's not a problem if you haven't memorized it. I will remind you through mini headphones",不用担心， 没背过也没有问题， 我会通过微型耳机提醒你的
S4L6,How can this be? At least I am also a professional,这怎么行， 我好歹也是专业人士
S5L1,"In a while, inside the Long Wind Hall",一会儿后， 长风厅内
S5L2,"Hello, may I ask if you are Miss Joy who came from the Alliance? I have read your recruitment announcement, so I am applying for the position of security guard. The resume was sent to your terminal yesterday",你好， 请问是来联盟的悦然小姐吗？我看了你们的招聘公告， 所以来应聘护卫， 简历已经在昨天发到你的终端了
S5L3,"Oh, I am. Please wait a moment. I need to confirm your resume, and then I have a few questions to ask you",哦， 我是， 请稍等， 我需要再确认下简历， 然后有几个问题要问你
S5L4,"A few minutes later......\n So you are Mr. Pension, a key member of the Imperial Border Army? And you were participated in five battles to eliminate space pirates, and your daily task is border patrol, right?",几分钟后…\n那么你是潘森先生， 曾隶属于帝国边防军的中坚部队？曾五次参与宇宙海盗的剿灭战， 日常任务是边境巡逻， 对吗？
S5L5,"Yes, I have been serving on Giant Shield before, and I retired after completing my service a week ago",是的， 我之前一直在巨盾星服役， 在一周前服役期满所以退役了
S5L6,I remember the treatment of Imperial soldiers has always been quite good. Why do you have to work hard as a security guard after retiring?,我记得帝国兵的待遇一直挺不错的， 你为何退役后还要来干辛苦的护卫工作呢？
S5L7,"There are two reasons. Firstly, compared to a stable environment, I tend to prefer dangerous and thrilling security work, otherwise I wouldn't have served in the military. Secondly, people must find something to do while alive, right? I can live with allowances and retirement benefits like my peers after retiring, but that kind of life is quite peaceful and dull","有两个原因， 一是相对于稳定的环境， 我更倾向于危险刺激的护卫工作， 否则我也不会去服兵役， 二是人活着总得找点事做,对吧？我可以和同侪们一样退役后拿着津贴和退役补助过日子， 但那样的日子未免太平淡了"
S5L8,How has General Yang.Xin from Planet Giant Shield been lately?,好的， 明白了， 话说巨盾星的杨欣将军怎么过的样？ 
S5L9,"Yang Xin? Sorry, I haven't heard of a general named Yang Xin during my service",杨欣？抱歉， 在我服役期间没听说过有叫杨欣的将军
S5L10,"Is that right? That might be my mistake. So, what do you think of the Empire's newly produced Skystrike 5?",是吗， 那可能是我记错了， 话说你对帝国新产的天击5型怎么看？
S5L11,"Oh, by the time I retire, it hasn't been put into practical use yet? I have only heard of it in the military, but have not actually driven it. It is said that it is equipped with new fuel and weapon systems, and its combat capability is twice that of the Type 4",哦， 到我退役的时候它还没投入实用呢？我在部队里只是听说过， 没实际驾驶过， 据说搭载了新的燃料和武器系统， 作战能力是4型的两倍
S5L12,What is Article 75 of the Imperial Army Regulations,帝国军例第75条是怎样的
S5L13,"Under no circumstances shall any Imperial soldier disclose military information, including but not limited to weapons and equipment, military deployments, environmental information, command notifications, etc",任何帝国军人在任何情况下不得泄露军事信息， 包括但不限于武器装备， 军事部署， 环境信息， 命令通知等
S5L14,Joy's face showed a mischievous smile,悦然脸上露出了促狭的笑容
